LAST SEEN   TYPE      REASON                       OBJECT                                           MESSAGE
52m         Warning   FailedCreate                 replicaset/vllm-int4-69b688cb98                  Error creating: pods "vllm-int4-69b688cb98-grqz6" is forbidden: violates PodSecurity "baseline:latest": hostPath volumes (volumes "checkpoints", "hf-archive")
52m         Warning   FailedCreate                 replicaset/vllm-int4-69b688cb98                  Error creating: pods "vllm-int4-69b688cb98-x4tm9" is forbidden: violates PodSecurity "baseline:latest": hostPath volumes (volumes "checkpoints", "hf-archive")
52m         Warning   FailedCreate                 replicaset/vllm-int4-69b688cb98                  Error creating: pods "vllm-int4-69b688cb98-tcd7c" is forbidden: violates PodSecurity "baseline:latest": hostPath volumes (volumes "checkpoints", "hf-archive")
41m         Warning   FailedCreate                 replicaset/vllm-int4-69b688cb98                  (combined from similar events): Error creating: pods "vllm-int4-69b688cb98-bgwmx" is forbidden: violates PodSecurity "baseline:latest": hostPath volumes (volumes "checkpoints", "hf-archive")
39m         Normal    ScalingReplicaSet            deployment/vllm-int4                             Scaled down replica set vllm-int4-69b688cb98 from 1 to 0
39m         Normal    ScalingReplicaSet            deployment/vllm-int4                             Scaled up replica set vllm-int4-6c55d9f669 from 0 to 1
39m         Normal    Pulled                       pod/vllm-int4-6c55d9f669-x29w9                   Container image "vllm/vllm-openai:v0.17.0" already present on machine and can be accessed by the pod
39m         Normal    Created                      pod/vllm-int4-6c55d9f669-x29w9                   Container created
39m         Normal    SuccessfulCreate             replicaset/vllm-int4-6c55d9f669                  Created pod: vllm-int4-6c55d9f669-x29w9
39m         Normal    Started                      pod/vllm-int4-6c55d9f669-x29w9                   Container started
39m         Warning   Unhealthy                    pod/vllm-int4-6c55d9f669-x29w9                   Startup probe failed: Get "http://10.42.0.75:8000/health": dial tcp 10.42.0.75:8000: connect: connection refused
37m         Normal    ScalingReplicaSet            deployment/vllm-int4                             Scaled down replica set vllm-int4-6c55d9f669 from 1 to 0
37m         Normal    Killing                      pod/vllm-int4-6c55d9f669-x29w9                   Stopping container vllm
37m         Normal    SuccessfulDelete             replicaset/vllm-int4-6c55d9f669                  Deleted pod: vllm-int4-6c55d9f669-x29w9
34m         Normal    SuccessfulCreate             replicaset/vllm-router-5b54cf7794                Created pod: vllm-router-5b54cf7794-n685d
